,Year,Month,Delhi,Hyderabad,Mumbai,Bangalore,Kolkata,Chennai,Pune,Kanpur,Surat,Ahmedabad,Mean,Median
96,2022,1,0.1088655502436957,,0.2404368986126489,,0.1721672822135875,0.2582713883020727,0.1234851537349582,,0.1218875214655106,0.1260520880133799,0.16445226894083623,0.14525217847710806
97,2022,2,0.0824694282061376,0.1402497501140513,0.2733237435791809,0.1598602324122815,0.1786516073161216,0.2072510227178665,0.1303700681735252,0.1990924649608541,0.1371580373136834,0.1373346087697887,0.16457609635634907,0.1598602324122815
98,2022,3,0.1216234339395777,0.1425378933725764,0.3254736042118638,0.1389417930795511,,,0.3945931508040005,0.1314642732717618,0.1428137872858421,0.1450841675864317,0.19281651294395064,0.1428137872858421
99,2022,4,0.0957873005208387,0.1447627953770144,0.2705435919812117,0.1693586111014481,0.137244981503804,0.3649668561377933,0.1307365560130236,0.0979398694336238,0.1445338554274493,0.1143969948450949,0.16702714123413018,0.1445338554274493
100,2022,5,0.0969728997026219,0.1521954139041811,0.518598504334793,,,0.2421995058979311,0.6937008044534806,0.5796344358491962,0.150216957907816,0.0955298218725867,0.31613104299032585,0.2421995058979311
105,2022,10,0.0953821830201041,,0.3893110410074548,0.129865185363994,0.5721511832938975,,0.2680465297661307,0.1030517654048787,0.2106399842851398,0.1208496408179696,0.23616218911994613,0.2106399842851398
106,2022,11,0.0861476122216144,0.1419271201729477,0.2667271638737307,0.1108854437474596,0.1368279897480944,,0.1362605147133451,0.1198079537758655,0.1057205165536484,0.0916525617184775,0.13288409739168705,0.12634602558377628
107,2022,12,0.1209864952276897,0.1208767690340921,0.2603300482169496,0.1890237300246754,,,0.1269316562156202,0.1010200741311004,0.8560990454805667,0.1026106888786785,0.23473481340117155,0.1269316562156202
108,2023,1,0.1505388277043852,0.1252481844956564,0.2234855537953436,0.1287816930551751,0.1029708349924531,0.2303772457423299,0.1319676249662045,0.150546605304728,0.1235985540491815,0.1247250423640987,0.1492240166469556,0.1319676249662045
109,2023,2,0.1123912683790256,0.1402854828725358,0.3400951053774345,0.1172138333919415,0.1132828351851003,0.1726197881247782,0.1441323542216113,0.1267116391429949,0.1531669903459404,0.1465132253300828,0.15664125223714453,0.1441323542216113
110,2023,3,0.9225852613609524,0.1203958989827719,0.3022219461324945,,,,,0.1247226014965439,0.2109821077626218,0.1111620416215582,0.29867830955949043,0.2109821077626218
111,2023,4,0.0994686157854872,0.1839785884041974,0.3103144027033401,0.2549046284417079,0.1178671617030764,0.3196680832629605,,0.1058438254461985,0.1399545323188754,0.1393961034264065,0.18571066016580554,0.1619665603615364
112,2023,5,0.2291052423656085,,0.7421040501727043,0.1040919921388788,0.6609251532220246,,0.144897641268528,0.255018236822584,0.149390534847335,0.1015788147350986,0.2983889581965952,0.2291052423656085
117,2023,10,0.1140609761524267,0.5246748757545205,0.2670999244148184,0.255947183430895,,0.2946155864498918,0.1267912655700643,1.2853597669937349,0.1234422741291422,0.0988264541965029,0.3434242563435552,0.2615235539228567
118,2023,11,0.1029570498095391,,0.2282576897282463,0.1983441040884609,0.1087946425316125,,,0.0894774161514028,0.1081983903816797,0.0947494181580086,0.13296838726413568,0.1084965164566461
119,2023,12,0.1247027290754546,0.1437620244487725,0.2056572442468152,,0.0991552084917005,,0.1431596495350498,,0.0795091550448191,0.0898151561602811,0.12653730957184184,0.12562001932364822
120,2024,1,,0.1439298435861833,0.2007333527800184,0.1232802693032319,,0.1788182805104128,0.1423176250278472,,0.1079912696343634,0.1167832934923329,0.14483627633348428,0.14312373430701525
121,2024,2,0.1348194026255842,0.1323154766066853,0.2676901541184911,0.1261560281751392,,0.2462238204483819,0.207320785155339,0.1328313534238715,0.1388691867846919,0.1255608425199706,0.1679763388731283,0.13684429470513804
122,2024,3,0.1905988536579013,0.137599402398523,0.292838713615927,0.1221483818808385,,0.1923511972261327,0.1660368977827334,,0.1507058070941348,0.112920177273463,0.1706499288662067,0.1660368977827334
123,2024,4,0.1698968524482506,0.4121974552772255,0.3374607000116695,0.1226844830412395,0.1324973960304273,0.3348843585204091,0.1439770063985992,,0.1608355558414385,0.1114379220320829,0.21398574773348245,0.16536620414484454
124,2024,5,0.095925649435307,,0.4378732917863482,,,,0.1279354261931273,0.173269503420352,0.1335687454967964,0.0923509207414739,0.17682058951223414,0.1335687454967964
129,2024,10,0.1173503877208831,,,,0.146509219834453,,,0.1147151226752355,0.1564527377131084,0.1039833595675342,0.12780216550224285,0.12257627661156298
130,2024,11,0.0958769453292469,0.1029346636740573,0.2647436153263585,0.2313689192655887,0.4218995608653931,,0.1282102518544362,0.0777729274131342,0.1152697436677172,0.0900130954590343,0.16978774698388518,0.1217399977610767
131,2024,12,0.1426705887199656,0.8323580318235612,0.3053228857391383,0.1931063268546687,0.1115569456457922,0.1582725362541258,0.2044213696418882,0.120371521308111,0.122486648788489,0.0930746206864647,0.22836414754622045,0.1582725362541258
